drug1_id,drug2_id,level
9320,8671,Minor
2260,8671,Minor
208,8671,Minor
179,8671,Minor
2361,8671,Minor
568,8671,Minor
8671,1834,Major
8671,1289,Minor
1311,8671,Minor
1219,7086,Moderate
139,8671,Moderate
2211,8671,Minor
471,1219,Moderate
1219,2171,Moderate
1219,6259,Moderate
2119,8671,Minor
211,8671,Minor
179,6832,Moderate
6832,6816,Major
81,6832,Moderate
6832,440,Moderate
217,6832,Moderate
1221,6832,Moderate
6832,1289,Moderate
455,6832,Moderate
2636,6832,Minor
471,6832,Moderate
7061,6832,Moderate
3650,6832,Moderate
211,6832,Moderate
6832,7501,Moderate
720,6832,Minor
1253,604,Minor
208,604,Moderate
179,604,Moderate
2361,604,Moderate
604,568,Moderate
604,6816,Moderate
1221,604,Minor
2636,604,Moderate
2211,604,Moderate
675,604,Moderate
903,604,Moderate
8737,604,Moderate
211,604,Moderate
4632,994,Moderate
994,477,Moderate
994,568,Moderate
1323,994,Major
184,994,Moderate
994,4223,Major
471,994,Moderate
5617,994,Moderate
2615,994,Moderate
8571,994,Major
491,994,Moderate
472,1018,Major
208,472,Moderate
472,179,Minor
2361,472,Major
472,568,Minor
472,217,Minor
3536,472,Moderate
472,455,Minor
472,2211,Moderate
472,530,Moderate
471,472,Minor
472,7061,Minor
3650,472,Major
7690,472,Moderate
211,472,Moderate
5797,472,Moderate
1325,1018,Major
1325,208,Moderate
1325,568,Minor
1325,3349,Minor
1325,15,Minor
211,1325,Minor
5129,22,Moderate
5129,228,Moderate
5129,1888,Minor
5129,178,Moderate
5129,4406,Moderate
111,5129,Moderate
5129,266,Moderate
5129,3536,Moderate
139,5129,Moderate
5129,4222,Moderate
5129,261,Moderate
7690,5129,Moderate
5129,211,Moderate
5129,720,Moderate
5129,313,Moderate
129,208,Minor
129,455,Minor
129,471,Moderate
129,87,Minor
5797,129,Minor
5501,3650,Moderate
212,1018,Minor
212,208,Moderate
212,179,Moderate
212,1888,Major
212,6816,Moderate
212,1267,Major
212,81,Moderate
212,440,Moderate
212,217,Major
212,1221,Major
212,1289,Moderate
212,3536,Major
212,455,Moderate
212,2636,Minor
212,530,Moderate
212,471,Minor
212,7061,Major
212,3650,Major
7690,212,Major
212,7501,Moderate
212,5797,Moderate
7066,22,Moderate
10279,7066,Moderate
7869,7066,Moderate
4632,7066,Moderate
7066,228,Moderate
7066,568,Moderate
1323,7066,Minor
7066,178,Moderate
7066,4406,Moderate
111,7066,Moderate
7066,440,Moderate
184,7066,Moderate
7066,266,Moderate
7066,1289,Moderate
139,7066,Moderate
4222,7066,Moderate
7066,4223,Minor
261,7066,Moderate
7066,211,Moderate
7066,7501,Moderate
7066,5617,Moderate
2615,7066,Moderate
7066,720,Moderate
7066,313,Moderate
8571,7066,Minor
491,7066,Moderate
1350,81,Moderate
1249,81,Minor
4430,81,Moderate
81,7468,Moderate
81,9353,Moderate
9931,81,Moderate
81,1527,Moderate
81,8675,Moderate
1457,81,Moderate
1248,81,Moderate
81,4455,Moderate
